Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;sqrt;10.0
2;300;2;4;log2;
3;100;10;4;0.3;10.0
4;200;5;2;sqrt;10.0
5;100;10;2;0.3;10.0
6;300;10;4;log2;
7;300;5;2;log2;10.0
8;200;5;2;log2;20.0
9;200;2;1;0.3;20.0
10;200;5;4;log2;20.0
11;200;10;1;0.3;
12;300;5;1;sqrt;
13;500;5;1;sqrt;20.0
14;300;5;4;sqrt;10.0
15;100;5;2;0.3;
16;200;5;1;sqrt;20.0
17;300;2;1;0.3;10.0
18;200;5;4;sqrt;
19;300;5;1;0.3;10.0
20;500;5;1;sqrt;10.0
21;500;2;4;sqrt;20.0
22;500;5;2;0.3;
23;100;2;2;log2;20.0
24;500;5;1;log2;20.0
25;100;5;1;sqrt;
26;100;5;1;sqrt;10.0
27;300;2;4;log2;10.0
28;100;10;2;log2;
29;200;10;4;0.3;
30;500;10;2;log2;20.0
