Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;2;0.3;
2;300;5;2;sqrt;20.0
3;500;5;2;0.3;10.0
4;300;2;2;0.3;
5;500;5;4;0.3;10.0
6;500;5;4;sqrt;
7;300;2;1;sqrt;20.0
8;200;2;1;log2;20.0
9;200;2;4;sqrt;10.0
10;100;10;2;sqrt;10.0
11;500;2;4;log2;
12;300;2;1;0.3;
13;500;2;2;log2;20.0
14;500;2;2;0.3;20.0
15;200;2;2;sqrt;20.0
16;100;5;4;sqrt;10.0
17;200;10;2;sqrt;10.0
18;300;5;4;0.3;
19;100;10;1;log2;
20;300;5;4;sqrt;
21;200;5;4;0.3;10.0
22;200;5;4;sqrt;20.0
23;500;5;2;0.3;
24;500;10;4;sqrt;20.0
25;200;5;4;log2;
26;300;5;4;log2;
27;500;5;2;log2;20.0
28;500;2;1;log2;
29;300;2;2;log2;10.0
30;300;10;2;sqrt;20.0
