Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;1;sqrt;10.0
2;500;5;1;log2;10.0
3;100;2;4;0.3;20.0
4;200;5;2;sqrt;
5;100;2;2;0.3;20.0
6;100;10;1;0.3;20.0
7;500;10;2;sqrt;
8;100;10;2;sqrt;20.0
9;100;2;2;log2;
10;300;2;2;log2;
11;100;5;1;sqrt;20.0
12;300;5;1;log2;10.0
13;200;2;2;0.3;20.0
14;500;5;1;sqrt;20.0
15;300;10;1;sqrt;20.0
16;300;5;4;log2;
17;100;10;4;0.3;
18;200;2;1;sqrt;20.0
19;500;2;4;sqrt;
20;500;2;1;0.3;20.0
21;500;2;4;sqrt;10.0
22;500;5;1;sqrt;10.0
23;300;2;1;0.3;10.0
24;300;5;1;0.3;20.0
25;300;10;4;0.3;20.0
26;200;5;1;log2;10.0
27;100;2;4;0.3;10.0
28;300;2;4;0.3;10.0
29;300;5;2;log2;20.0
30;200;5;2;0.3;20.0
