Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;4;0.3;
2;300;2;2;log2;20.0
3;200;2;1;log2;20.0
4;100;10;2;log2;
5;100;10;4;log2;10.0
6;200;2;2;0.3;10.0
7;500;10;2;0.3;10.0
8;300;2;4;log2;
9;500;5;2;sqrt;20.0
10;500;5;2;0.3;10.0
11;500;10;1;sqrt;20.0
12;500;5;2;0.3;
13;500;5;2;log2;20.0
14;100;2;4;sqrt;20.0
15;200;2;1;sqrt;
16;100;5;4;log2;
17;500;10;1;log2;10.0
18;200;5;4;0.3;
19;200;5;4;sqrt;20.0
20;300;2;1;0.3;
21;300;2;4;sqrt;10.0
22;300;5;1;0.3;
23;300;10;1;0.3;20.0
24;200;10;4;sqrt;
25;200;5;2;sqrt;10.0
26;500;10;1;0.3;20.0
27;100;2;4;sqrt;10.0
28;500;2;4;sqrt;20.0
29;300;10;4;0.3;20.0
30;300;2;1;sqrt;
