Iteration;subsample;n_estimators;max_depth;learning_rate;colsample_bytree
1;0.8;500;3;0.01;0.8
2;0.8;200;7;0.05;0.5
3;0.7;500;10;0.1;0.5
4;1.0;500;5;0.01;0.3
5;0.9;300;7;0.05;0.8
6;1.0;300;3;0.05;0.8
7;1.0;500;10;0.1;0.5
8;0.9;500;5;0.2;0.8
9;0.7;500;3;0.05;0.3
10;1.0;300;3;0.2;0.8
11;0.9;100;10;0.05;0.5
12;0.9;200;3;0.05;0.3
13;0.8;200;7;0.1;0.8
14;0.8;200;7;0.05;0.3
15;0.8;500;7;0.05;0.8
16;0.8;500;3;0.1;0.8
17;0.7;300;5;0.01;0.5
18;0.8;300;7;0.1;0.5
19;0.7;200;5;0.1;0.5
20;0.8;500;7;0.2;0.8
21;0.7;100;7;0.05;0.3
22;0.9;200;3;0.1;1.0
23;0.8;200;3;0.01;0.5
24;0.7;300;10;0.01;0.5
25;0.9;100;5;0.01;0.8
26;0.7;300;10;0.1;0.8
27;0.9;300;7;0.05;0.5
28;0.8;100;7;0.01;0.5
29;0.9;200;10;0.05;1.0
30;1.0;200;7;0.2;1.0
