Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;2;log2;20.0
2;100;10;4;sqrt;20.0
3;200;10;1;sqrt;10.0
4;100;2;4;0.3;10.0
5;500;2;2;0.3;20.0
6;200;5;1;log2;10.0
7;500;5;1;0.3;20.0
8;500;2;4;log2;10.0
9;100;2;2;log2;
10;200;10;4;sqrt;20.0
11;500;5;1;sqrt;20.0
12;200;2;4;0.3;10.0
13;500;10;2;sqrt;10.0
14;200;10;2;sqrt;
15;200;5;1;sqrt;
16;500;2;2;sqrt;
17;300;10;1;sqrt;
18;100;2;2;0.3;10.0
19;200;10;2;log2;10.0
20;100;5;2;0.3;20.0
21;100;2;1;0.3;10.0
22;200;5;4;0.3;20.0
23;200;10;1;log2;10.0
24;100;10;1;sqrt;10.0
25;100;10;4;sqrt;
26;200;10;1;0.3;
27;300;5;4;log2;10.0
28;500;10;1;sqrt;20.0
29;200;5;4;sqrt;10.0
30;100;5;4;log2;10.0
