Cal_data,n_ech,Propriete,pre,nvl
meso_frais_Pobe_ASD_24_25,160,C16.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(2,3,15)))",4
meso_frais_Pobe_ASD_24_25,160,C18.0,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15)))",10
meso_frais_Pobe_ASD_24_25,160,C18.1n9,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",5
meso_frais_Pobe_ASD_24_25,160,C18.1n7,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15)))",8
meso_frais_Pobe_ASD_24_25,160,C18.2,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(2,3,15)))",9
meso_frais_Pobe_ASD_24_25,160,C18.3,"rbind(list('adj',''),list('red',c(1,1000,1)),list('snv',''))",4
meso_frais_Pobe_ASD_24_25,160,C20.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",6
meso_frais_Pobe_ASD_24_25,108,trans.alpha.carotne,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15)))",14
meso_frais_Pobe_ASD_24_25,108,trans.beta.carotene,"rbind(list('adj',''),list('red',c(1,1300,1)),list('snv',''))",5
meso_frais_Pobe_ASD_24_25,108,X13.cis.beta.carotene,"rbind(list('adj',''),list('red',c(1,1300,1)),list('snv',''))",4
meso_frais_Pobe_ASD_24_25,108,X9.cis.beta.carotene,"rbind(list('adj',''),list('red',c(1,1300,1)),list('snv',''))",14
meso_frais_Pobe_ASD_24_25,108,total.beta.carotenes,"rbind(list('adj',''),list('red',c(1,1300,1)),list('snv',''))",5
meso_frais_Pobe_ASD_24_25,108,total.carotenes,"rbind(list('adj',''),list('red',c(1,1300,1)),list('snv',''))",5
meso_frais_Pobe_ASD_24_25,145,tlip.MS,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",5
exo_frais_Pobe_ASD_24_25,217,eau,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",3
exo_frais_Pobe_ASD_24_25,89,C14.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",5
exo_frais_Pobe_ASD_24_25,89,C16.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",8
exo_frais_Pobe_ASD_24_25,89,C18.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",5
exo_frais_Pobe_ASD_24_25,89,C18.1n9,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",8
exo_frais_Pobe_ASD_24_25,89,C18.1n7,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",6
exo_frais_Pobe_ASD_24_25,89,C18.2,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",13
exo_frais_Pobe_ASD_24_25,89,C18.3,"rbind(list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1)))",4
exo_frais_Pobe_ASD_24_25,89,C20.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",9
exo_frais_Pobe_ASD_24_25,84,trans.alpha.carotne,"rbind(list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(2,3,15)))",9
exo_frais_Pobe_ASD_24_25,84,trans.beta.carotene,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15)))",8
exo_frais_Pobe_ASD_24_25,84,X13.cis.beta.carotene,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15)))",6
exo_frais_Pobe_ASD_24_25,84,X9.cis.beta.carotene,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15)))",6
exo_frais_Pobe_ASD_24_25,84,total.beta.carotenes,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15)))",8
exo_frais_Pobe_ASD_24_25,84,total.carotenes,"rbind(list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(2,3,15)))",4
exo_frais_Pobe_ASD_24_25,79,tlip.MS,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(2,3,15)))",8
meso_silica_Pobe_ASD_24_25,306,eau,"rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)))",10
meso_silica_Pobe_ASD_24_25,160,C14.0,"rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)))",4
meso_silica_Pobe_ASD_24_25,160,C16.0,"rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)))",5
meso_silica_Pobe_ASD_24_25,160,C18.0,"rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)))",4
meso_silica_Pobe_ASD_24_25,160,C18.1n9,"rbind(list('adj',''),list('red',c(1000,700,1)),list('snv',''),list('sder',c(2,3,15)))",8
meso_silica_Pobe_ASD_24_25,160,C18.1n7,"rbind(list('adj',''),list('red',c(950,650,1)),list('snv',''),list('sder',c(2,3,15)))",2
meso_silica_Pobe_ASD_24_25,160,C18.2,"rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)))",9
meso_silica_Pobe_ASD_24_25,160,C18.3,"rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)))",2
meso_silica_Pobe_ASD_24_25,160,C20.0,"rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)))",2
meso_silica_Pobe_ASD_24_25,108,trans.alpha.carotene,"rbind(list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,15)))",3
meso_silica_Pobe_ASD_24_25,108,trans.beta.carotene,"rbind(list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,31)))",3
meso_silica_Pobe_ASD_24_25,108,total.trans.carotene.natif,"rbind(list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 31)))",4
meso_silica_Pobe_ASD_24_25,108,ratio.alpha.beta,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15)))",7
meso_silica_Pobe_ASD_24_25,108,ratio.alpha.natif,"rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,21)))",8
meso_silica_Pobe_ASD_24_25,108,ratio.beta.natif,"rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,21)))",8
meso_silica_Pobe_ASD_24_25,108,X13.cis.beta.carotene,"rbind(list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,15)))",1
meso_silica_Pobe_ASD_24_25,108,X9.cis.beta.carotene,"rbind(list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0,3,21)))",4
meso_silica_Pobe_ASD_24_25,108,total.beta.carotene,"rbind(list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,31)))",3
meso_silica_Pobe_ASD_24_25,108,total.carotene,"rbind(list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 3, 19)))",4
meso_silica_Pobe_ASD_24_25,104,tlip.MS,"rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)))",6
