Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;2;sqrt;
2;200;10;2;0.3;20.0
3;500;10;1;0.3;
4;200;2;2;sqrt;
5;300;2;4;sqrt;10.0
6;100;5;4;log2;20.0
7;200;10;2;sqrt;20.0
8;500;5;2;sqrt;
9;100;2;4;log2;20.0
10;200;5;1;log2;20.0
11;100;5;2;sqrt;
12;100;2;1;0.3;10.0
13;100;10;4;0.3;20.0
14;200;5;1;0.3;10.0
15;100;10;4;log2;20.0
16;200;10;1;sqrt;10.0
17;500;2;2;sqrt;20.0
18;500;5;4;sqrt;20.0
19;500;5;4;0.3;20.0
20;300;2;1;0.3;20.0
21;200;5;1;0.3;
22;300;2;1;sqrt;
23;500;5;1;log2;20.0
24;500;2;4;sqrt;
25;500;10;4;0.3;20.0
26;300;5;1;0.3;
27;100;2;2;log2;
28;200;2;4;0.3;
29;500;2;2;log2;10.0
30;500;5;1;0.3;10.0
