Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;4;0.3;20.0
2;500;2;4;0.3;
3;100;2;2;0.3;
4;100;2;2;0.3;10.0
5;500;10;2;sqrt;20.0
6;100;10;2;sqrt;10.0
7;500;10;4;0.3;20.0
8;100;5;1;log2;20.0
9;300;10;1;sqrt;20.0
10;100;10;2;log2;
11;500;5;2;log2;20.0
12;300;2;4;0.3;20.0
13;300;10;4;0.3;10.0
14;100;2;1;log2;
15;500;10;1;log2;20.0
16;500;10;1;0.3;20.0
17;500;5;2;0.3;10.0
18;100;2;1;log2;10.0
19;500;10;4;log2;20.0
20;300;10;4;0.3;20.0
21;300;2;2;log2;
22;200;2;2;0.3;20.0
23;300;5;4;log2;
24;300;10;2;sqrt;20.0
25;100;2;4;log2;20.0
26;200;10;4;sqrt;
27;500;2;4;log2;20.0
28;300;5;4;0.3;
29;200;10;4;log2;20.0
30;500;10;2;log2;20.0
