Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;1;log2;10.0
2;200;10;1;0.3;20.0
3;500;2;1;sqrt;20.0
4;500;5;4;0.3;20.0
5;500;10;4;log2;20.0
6;200;10;4;sqrt;
7;200;10;1;log2;10.0
8;200;10;4;sqrt;20.0
9;500;2;4;log2;
10;500;2;1;0.3;
11;300;10;2;log2;
12;200;2;1;sqrt;20.0
13;100;5;1;0.3;
14;300;2;1;sqrt;
15;500;10;2;0.3;
16;300;5;4;sqrt;10.0
17;500;10;2;0.3;10.0
18;300;10;1;sqrt;
19;200;5;2;0.3;
20;100;2;2;log2;
21;300;2;1;0.3;20.0
22;500;2;4;sqrt;20.0
23;500;2;1;log2;20.0
24;200;2;4;log2;20.0
25;100;10;4;0.3;10.0
26;100;10;1;sqrt;
27;500;10;2;log2;20.0
28;100;10;4;sqrt;10.0
29;500;5;1;sqrt;
30;100;10;1;log2;
