Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;2;0.3;10.0
2;300;5;2;log2;20.0
3;200;5;4;sqrt;20.0
4;300;5;4;0.3;
5;300;5;4;log2;10.0
6;100;2;2;log2;20.0
7;100;5;4;0.3;20.0
8;500;10;2;0.3;
9;300;2;2;0.3;
10;300;2;1;log2;20.0
11;200;2;4;log2;
12;300;2;1;0.3;10.0
13;500;5;1;0.3;
14;300;2;1;sqrt;20.0
15;200;10;1;log2;20.0
16;500;5;2;sqrt;
17;100;10;1;log2;20.0
18;100;5;4;log2;
19;100;10;4;0.3;20.0
20;300;10;2;0.3;
21;100;5;2;sqrt;20.0
22;200;5;1;log2;20.0
23;100;10;4;0.3;
24;200;5;4;sqrt;10.0
25;200;5;4;0.3;20.0
26;100;10;1;log2;
27;500;5;1;sqrt;20.0
28;300;5;2;0.3;
29;300;10;2;0.3;10.0
30;200;2;1;sqrt;
