Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;2;log2;10.0
2;300;5;4;0.3;
3;300;2;4;0.3;20.0
4;100;2;2;log2;10.0
5;200;2;4;sqrt;20.0
6;100;2;4;0.3;
7;100;10;4;0.3;20.0
8;500;2;1;log2;
9;100;5;2;log2;20.0
10;300;10;1;0.3;
11;200;5;2;log2;20.0
12;300;10;1;log2;10.0
13;100;10;1;sqrt;20.0
14;200;10;4;sqrt;10.0
15;100;2;2;log2;20.0
16;200;10;4;0.3;
17;100;2;1;sqrt;10.0
18;200;10;1;sqrt;
19;200;2;4;0.3;20.0
20;100;2;1;log2;
21;200;10;1;sqrt;20.0
22;200;2;2;0.3;10.0
23;500;5;2;0.3;20.0
24;300;10;4;sqrt;
25;300;5;1;0.3;10.0
26;300;2;4;sqrt;20.0
27;500;5;2;sqrt;10.0
28;100;2;1;sqrt;
29;100;5;4;sqrt;20.0
30;200;2;2;0.3;
