Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;1;0.3;
2;500;10;2;log2;10.0
3;200;2;2;0.3;
4;200;2;4;sqrt;
5;500;10;2;0.3;20.0
6;100;5;2;log2;20.0
7;300;10;2;0.3;
8;100;2;1;log2;10.0
9;300;10;4;sqrt;10.0
10;300;5;1;sqrt;
11;100;5;1;log2;20.0
12;200;5;2;sqrt;20.0
13;500;2;4;sqrt;
14;300;5;4;log2;
15;100;10;1;0.3;10.0
16;200;2;2;sqrt;20.0
17;300;5;4;log2;10.0
18;100;5;4;0.3;10.0
19;500;10;1;0.3;
20;100;2;2;log2;20.0
21;200;10;4;log2;10.0
22;500;2;1;0.3;20.0
23;500;5;1;sqrt;10.0
24;500;2;2;0.3;
25;300;5;1;log2;10.0
26;200;5;1;0.3;
27;300;10;2;log2;20.0
28;500;2;1;log2;10.0
29;100;2;2;sqrt;
30;500;10;1;0.3;20.0
