Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;1;0.3;20.0
2;100;10;4;log2;20.0
3;100;10;2;log2;
4;200;5;2;sqrt;
5;500;10;4;0.3;10.0
6;200;2;1;0.3;20.0
7;200;5;4;sqrt;20.0
8;200;5;1;log2;
9;100;5;4;0.3;10.0
10;200;2;4;sqrt;20.0
11;100;5;4;0.3;20.0
12;100;2;1;sqrt;10.0
13;100;5;1;0.3;
14;100;2;2;0.3;10.0
15;300;5;2;sqrt;10.0
16;200;10;4;sqrt;10.0
17;100;2;4;log2;10.0
18;200;2;2;log2;
19;300;5;2;0.3;20.0
20;100;5;1;0.3;10.0
21;300;2;2;0.3;20.0
22;100;5;1;0.3;20.0
23;300;5;1;0.3;10.0
24;300;2;4;log2;
25;500;2;1;sqrt;20.0
26;200;2;1;log2;10.0
27;500;5;2;log2;
28;300;5;2;sqrt;20.0
29;500;5;2;log2;20.0
30;300;5;1;log2;20.0
