Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;2;log2;20.0
2;300;2;1;log2;10.0
3;200;2;4;log2;10.0
4;300;2;2;0.3;20.0
5;500;10;1;sqrt;10.0
6;100;10;4;log2;10.0
7;200;10;4;sqrt;
8;200;10;2;0.3;
9;100;10;4;0.3;10.0
10;300;2;1;log2;
11;500;10;2;log2;
12;100;2;4;log2;20.0
13;200;10;2;sqrt;
14;200;10;1;log2;
15;500;5;4;0.3;10.0
16;200;2;2;sqrt;20.0
17;100;10;4;sqrt;10.0
18;500;2;2;sqrt;10.0
19;500;5;2;log2;20.0
20;300;5;2;log2;
21;100;10;1;log2;10.0
22;100;2;1;0.3;10.0
23;200;5;4;0.3;10.0
24;200;2;4;0.3;10.0
25;500;5;1;log2;10.0
26;500;5;1;sqrt;
27;500;5;2;0.3;10.0
28;500;5;4;log2;
29;300;5;4;0.3;20.0
30;100;5;1;log2;10.0
