Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;1;0.3;
2;100;5;1;0.3;20.0
3;200;10;4;0.3;20.0
4;200;2;2;0.3;10.0
5;100;10;4;sqrt;
6;300;5;2;sqrt;10.0
7;200;5;4;sqrt;
8;200;5;2;sqrt;10.0
9;100;2;1;sqrt;
10;300;2;1;sqrt;20.0
11;200;2;2;0.3;20.0
12;500;10;2;log2;10.0
13;200;2;2;log2;
14;100;10;2;log2;20.0
15;200;2;1;sqrt;20.0
16;500;2;1;sqrt;
17;200;10;2;sqrt;20.0
18;300;5;1;sqrt;10.0
19;200;2;1;sqrt;10.0
20;200;10;2;0.3;20.0
21;300;2;2;sqrt;10.0
22;200;2;2;log2;10.0
23;500;5;4;log2;20.0
24;500;10;2;sqrt;
25;500;10;2;log2;
26;300;5;4;log2;
27;200;10;1;log2;10.0
28;500;5;1;sqrt;
29;500;2;2;0.3;10.0
30;200;5;4;log2;
