Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;1;sqrt;
2;500;5;4;log2;
3;300;5;4;log2;10.0
4;100;10;1;0.3;20.0
5;300;5;4;sqrt;
6;100;2;4;sqrt;
7;300;5;4;sqrt;20.0
8;500;5;1;0.3;10.0
9;500;10;2;0.3;10.0
10;200;10;4;log2;10.0
11;300;2;2;0.3;
12;300;2;4;sqrt;20.0
13;500;10;4;sqrt;20.0
14;300;5;1;0.3;20.0
15;300;2;2;0.3;20.0
16;200;5;2;sqrt;20.0
17;300;5;1;log2;10.0
18;500;10;4;sqrt;
19;200;2;4;sqrt;
20;200;5;1;0.3;
21;200;5;2;sqrt;
22;500;5;2;0.3;20.0
23;200;2;1;log2;10.0
24;300;10;2;sqrt;10.0
25;300;5;2;log2;20.0
26;300;10;2;0.3;
27;500;10;2;sqrt;20.0
28;500;5;2;log2;
29;100;2;4;log2;10.0
30;200;10;4;log2;
