Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;log2;20.0
2;200;2;4;0.3;
3;200;2;2;log2;
4;300;5;2;0.3;20.0
5;300;2;1;sqrt;
6;100;10;1;0.3;
7;300;2;2;log2;
8;300;10;1;sqrt;10.0
9;100;5;4;log2;
10;500;10;2;sqrt;
11;300;5;2;0.3;10.0
12;300;10;4;sqrt;10.0
13;300;10;4;0.3;20.0
14;200;10;2;sqrt;20.0
15;200;2;1;0.3;10.0
16;300;2;2;log2;20.0
17;300;10;1;sqrt;
18;200;5;2;sqrt;10.0
19;200;2;1;sqrt;10.0
20;100;5;1;0.3;20.0
21;200;2;2;sqrt;10.0
22;200;5;4;0.3;
23;300;5;1;log2;10.0
24;500;5;1;sqrt;20.0
25;300;10;4;0.3;
26;100;2;1;log2;10.0
27;500;5;2;sqrt;20.0
28;500;2;1;sqrt;20.0
29;100;2;4;sqrt;20.0
30;100;10;1;log2;20.0
