Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;sqrt;20.0
2;200;5;1;sqrt;20.0
3;200;5;2;log2;
4;200;2;1;sqrt;20.0
5;200;10;2;log2;10.0
6;100;5;4;sqrt;
7;200;5;2;0.3;20.0
8;500;5;1;0.3;20.0
9;200;5;2;log2;10.0
10;300;5;2;sqrt;
11;100;10;4;0.3;
12;200;10;1;sqrt;20.0
13;100;10;2;log2;10.0
14;200;2;2;0.3;20.0
15;100;5;1;log2;
16;500;10;4;log2;
17;200;5;1;log2;10.0
18;100;5;4;log2;20.0
19;300;5;1;log2;
20;500;5;1;0.3;
21;200;10;4;0.3;
22;300;2;4;0.3;20.0
23;500;10;1;0.3;
24;200;5;1;log2;20.0
25;100;10;1;sqrt;20.0
26;300;2;1;0.3;
27;200;2;4;0.3;10.0
28;300;10;4;sqrt;10.0
29;200;10;2;sqrt;20.0
30;500;10;4;0.3;
