Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;4;log2;10.0
2;100;5;2;0.3;10.0
3;300;2;4;log2;20.0
4;500;5;1;0.3;20.0
5;300;10;1;0.3;10.0
6;500;10;4;log2;
7;200;5;1;log2;10.0
8;200;10;1;0.3;20.0
9;200;10;2;sqrt;
10;100;2;1;log2;10.0
11;500;5;4;log2;20.0
12;100;2;4;0.3;10.0
13;200;2;4;0.3;20.0
14;200;2;2;log2;10.0
15;500;5;4;0.3;20.0
16;500;2;4;sqrt;
17;200;5;1;0.3;10.0
18;200;10;2;log2;
19;300;5;2;0.3;20.0
20;500;5;2;log2;10.0
21;300;5;1;sqrt;
22;100;5;2;log2;10.0
23;100;5;2;sqrt;
24;300;5;4;0.3;10.0
25;300;5;4;sqrt;20.0
26;200;2;2;sqrt;20.0
27;300;2;1;0.3;
28;500;5;2;log2;20.0
29;200;10;2;0.3;20.0
30;500;5;2;0.3;20.0
