Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;sqrt;10.0
2;200;5;4;sqrt;20.0
3;100;10;2;sqrt;10.0
4;500;10;4;0.3;10.0
5;500;5;1;sqrt;10.0
6;200;10;2;log2;20.0
7;100;2;2;log2;10.0
8;100;5;4;0.3;20.0
9;500;5;2;log2;
10;200;5;1;sqrt;10.0
11;300;10;4;0.3;20.0
12;200;10;1;sqrt;
13;500;2;4;sqrt;10.0
14;200;5;1;0.3;20.0
15;300;5;2;sqrt;10.0
16;100;10;1;0.3;10.0
17;300;2;1;sqrt;
18;200;10;2;0.3;20.0
19;300;5;4;sqrt;
20;300;2;4;0.3;10.0
21;300;2;2;sqrt;10.0
22;500;2;1;sqrt;
23;300;10;1;sqrt;10.0
24;200;2;1;log2;
25;200;10;2;0.3;
26;500;2;2;log2;10.0
27;100;10;2;0.3;20.0
28;500;5;2;log2;10.0
29;300;10;1;log2;20.0
30;300;10;1;sqrt;
