Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;sqrt;10.0
2;300;2;4;sqrt;20.0
3;500;2;2;log2;10.0
4;500;10;2;log2;
5;500;5;4;sqrt;20.0
6;200;5;1;sqrt;
7;500;10;2;0.3;10.0
8;100;5;4;log2;20.0
9;200;5;1;0.3;20.0
10;100;10;2;sqrt;
11;300;10;2;log2;
12;200;5;4;sqrt;
13;100;2;1;0.3;
14;100;2;1;sqrt;
15;100;2;1;0.3;10.0
16;300;5;4;log2;
17;500;5;4;sqrt;10.0
18;200;5;4;0.3;
19;200;2;1;sqrt;
20;200;5;2;log2;
21;500;2;2;0.3;
22;500;2;1;0.3;20.0
23;200;5;2;sqrt;
24;200;2;2;sqrt;
25;100;2;4;log2;20.0
26;300;5;2;0.3;
27;500;5;4;log2;20.0
28;100;2;4;0.3;
29;100;2;2;sqrt;
30;300;2;2;log2;10.0
