Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;2;sqrt;
2;300;5;4;log2;20.0
3;100;10;1;sqrt;20.0
4;500;2;1;sqrt;10.0
5;300;10;1;sqrt;20.0
6;200;5;1;log2;10.0
7;100;5;1;0.3;
8;200;2;4;sqrt;20.0
9;200;10;2;0.3;10.0
10;200;2;2;log2;
11;100;2;4;log2;20.0
12;300;5;4;sqrt;20.0
13;500;5;2;sqrt;
14;200;2;2;sqrt;10.0
15;500;5;1;sqrt;
16;500;5;2;0.3;10.0
17;100;5;1;0.3;20.0
18;200;2;2;0.3;20.0
19;300;10;2;sqrt;
20;300;2;1;0.3;
21;100;5;4;sqrt;
22;300;10;2;log2;
23;500;5;1;sqrt;20.0
24;500;10;1;log2;10.0
25;100;5;2;0.3;
26;100;2;2;0.3;
27;500;5;2;0.3;20.0
28;300;5;4;sqrt;
29;500;2;2;0.3;10.0
30;100;2;1;sqrt;20.0
