Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;1;log2;20.0
2;300;5;1;log2;10.0
3;200;5;4;log2;10.0
4;200;10;4;0.3;20.0
5;500;2;1;0.3;20.0
6;200;2;1;sqrt;
7;500;2;2;log2;
8;100;10;4;log2;20.0
9;500;2;2;sqrt;20.0
10;500;2;4;0.3;
11;500;2;1;log2;10.0
12;100;5;4;log2;
13;200;5;4;log2;20.0
14;100;2;2;sqrt;
15;300;10;2;log2;
16;500;10;1;log2;
17;500;5;2;sqrt;
18;100;5;2;log2;10.0
19;300;2;4;0.3;
20;500;10;1;log2;10.0
21;100;10;1;0.3;20.0
22;100;2;2;log2;20.0
23;300;2;2;sqrt;
24;100;5;2;sqrt;
25;500;2;4;sqrt;20.0
26;500;2;4;0.3;10.0
27;200;2;2;sqrt;
28;100;5;1;0.3;10.0
29;100;10;2;sqrt;
30;300;2;2;log2;10.0
