Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;2;sqrt;
2;200;2;1;sqrt;10.0
3;300;5;1;0.3;10.0
4;100;10;4;sqrt;10.0
5;300;5;1;0.3;20.0
6;200;5;4;sqrt;
7;100;10;1;0.3;
8;500;10;1;0.3;10.0
9;200;5;4;log2;20.0
10;100;2;2;0.3;
11;300;2;1;sqrt;20.0
12;300;2;1;log2;20.0
13;500;10;2;sqrt;20.0
14;100;2;2;0.3;10.0
15;200;2;2;sqrt;10.0
16;100;2;1;log2;
17;500;10;4;log2;10.0
18;100;2;2;0.3;20.0
19;100;10;4;log2;
20;500;2;1;sqrt;20.0
21;500;2;1;0.3;
22;100;5;2;0.3;20.0
23;200;10;1;log2;
24;500;2;4;log2;
25;200;5;4;log2;10.0
26;500;5;4;0.3;10.0
27;300;5;4;sqrt;20.0
28;200;5;1;sqrt;20.0
29;100;10;1;0.3;20.0
30;300;2;4;sqrt;
