Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;2;sqrt;20.0
2;100;2;1;log2;
3;200;10;2;log2;10.0
4;500;10;1;log2;20.0
5;500;5;1;log2;20.0
6;200;10;4;0.3;20.0
7;100;2;4;0.3;20.0
8;200;5;4;0.3;10.0
9;300;2;1;0.3;
10;200;2;2;log2;10.0
11;500;2;4;log2;
12;200;10;2;log2;
13;200;5;2;log2;20.0
14;300;2;2;0.3;10.0
15;200;10;4;log2;10.0
16;500;2;2;sqrt;20.0
17;500;2;2;0.3;10.0
18;300;5;1;sqrt;10.0
19;100;2;1;sqrt;
20;100;5;4;0.3;
21;500;5;4;0.3;10.0
22;100;10;1;log2;20.0
23;100;5;2;log2;10.0
24;200;5;4;log2;
25;300;10;4;sqrt;10.0
26;200;5;2;sqrt;10.0
27;100;2;1;0.3;20.0
28;100;5;2;0.3;20.0
29;500;5;2;sqrt;10.0
30;200;10;4;0.3;
