Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;2;sqrt;10.0
2;500;10;2;sqrt;20.0
3;200;2;4;sqrt;20.0
4;100;2;2;0.3;
5;300;2;4;sqrt;10.0
6;300;2;1;0.3;
7;100;10;2;log2;10.0
8;200;5;4;sqrt;20.0
9;300;10;2;0.3;20.0
10;100;2;4;log2;
11;100;2;4;log2;20.0
12;100;10;1;log2;
13;200;5;1;log2;
14;100;5;4;log2;20.0
15;200;5;4;0.3;10.0
16;300;5;2;0.3;10.0
17;500;10;2;0.3;10.0
18;100;5;4;sqrt;20.0
19;200;2;1;log2;10.0
20;200;5;1;sqrt;20.0
21;200;5;1;0.3;20.0
22;100;10;1;log2;20.0
23;200;10;4;sqrt;
24;500;2;2;log2;10.0
25;500;10;2;0.3;
26;100;10;2;0.3;20.0
27;200;2;2;log2;
28;200;2;1;sqrt;20.0
29;300;5;4;0.3;
30;100;10;1;sqrt;
