Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;sqrt;10.0
2;100;10;1;sqrt;
3;300;5;2;0.3;20.0
4;100;5;2;log2;
5;100;2;2;log2;10.0
6;200;10;4;0.3;10.0
7;200;10;2;0.3;20.0
8;200;5;4;sqrt;
9;200;10;2;log2;10.0
10;200;2;4;log2;
11;300;5;4;sqrt;20.0
12;200;5;2;log2;10.0
13;200;2;2;sqrt;
14;500;10;2;0.3;20.0
15;300;5;1;sqrt;
16;500;10;1;sqrt;10.0
17;100;10;4;0.3;20.0
18;100;2;2;0.3;
19;200;2;2;sqrt;20.0
20;200;10;4;log2;20.0
21;100;5;4;log2;20.0
22;300;2;4;0.3;20.0
23;300;2;2;log2;20.0
24;300;2;1;log2;20.0
25;200;10;1;log2;
26;500;10;1;0.3;20.0
27;300;10;4;log2;
28;100;10;2;0.3;10.0
29;200;2;4;sqrt;20.0
30;100;5;2;log2;20.0
