Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;2;log2;
2;300;5;1;log2;20.0
3;100;5;1;0.3;10.0
4;200;10;2;sqrt;20.0
5;500;5;1;sqrt;20.0
6;300;10;4;0.3;
7;500;10;2;log2;20.0
8;200;10;1;sqrt;10.0
9;500;10;4;0.3;20.0
10;300;2;1;log2;20.0
11;300;2;2;0.3;
12;300;5;1;sqrt;10.0
13;300;5;4;log2;10.0
14;100;2;4;log2;10.0
15;200;10;4;0.3;10.0
16;200;2;4;sqrt;20.0
17;100;2;4;log2;20.0
18;500;5;2;sqrt;
19;100;10;1;0.3;
20;200;10;2;0.3;10.0
21;300;5;2;0.3;10.0
22;100;5;1;log2;20.0
23;200;2;4;log2;
24;200;5;4;log2;20.0
25;100;10;2;0.3;
26;500;2;1;log2;10.0
27;100;2;4;sqrt;10.0
28;500;2;1;0.3;10.0
29;500;5;2;sqrt;20.0
30;300;5;1;0.3;
