Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;10;2;log2;
2;100;5;4;sqrt;20.0
3;300;2;2;sqrt;20.0
4;300;10;1;sqrt;
5;100;10;2;0.3;10.0
6;200;2;1;log2;20.0
7;300;5;4;log2;20.0
8;300;10;2;log2;
9;200;5;1;log2;20.0
10;100;2;2;log2;20.0
11;500;2;1;0.3;10.0
12;300;5;2;log2;
13;500;5;1;log2;10.0
14;200;10;4;sqrt;10.0
15;500;2;1;log2;
16;500;2;2;log2;20.0
17;300;10;1;sqrt;20.0
18;100;2;2;0.3;20.0
19;100;5;2;log2;10.0
20;300;10;1;0.3;10.0
21;100;5;4;0.3;20.0
22;100;5;1;0.3;
23;200;10;4;sqrt;20.0
24;200;5;2;sqrt;10.0
25;500;2;4;0.3;
26;200;10;4;log2;10.0
27;200;5;2;0.3;20.0
28;100;2;4;0.3;20.0
29;500;2;1;log2;20.0
30;200;10;2;log2;20.0
