Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;log2;20.0
2;500;10;4;log2;
3;100;5;4;log2;20.0
4;100;2;1;0.3;20.0
5;100;10;2;sqrt;10.0
6;500;2;1;0.3;10.0
7;500;5;1;sqrt;20.0
8;500;2;2;0.3;10.0
9;500;2;1;log2;20.0
10;100;2;1;0.3;
11;100;10;4;sqrt;
12;100;10;1;0.3;20.0
13;100;10;2;sqrt;20.0
14;200;2;4;log2;
15;100;5;4;sqrt;20.0
16;300;2;1;0.3;20.0
17;100;5;1;sqrt;10.0
18;200;10;4;sqrt;
19;500;5;4;sqrt;20.0
20;500;2;2;log2;10.0
21;500;5;1;sqrt;10.0
22;100;5;2;sqrt;10.0
23;200;5;4;log2;10.0
24;500;2;4;log2;10.0
25;500;2;1;0.3;20.0
26;200;2;2;0.3;
27;500;2;2;sqrt;20.0
28;200;2;2;sqrt;20.0
29;100;5;1;log2;20.0
30;300;2;1;sqrt;10.0
