Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;4;sqrt;
2;300;5;2;0.3;20.0
3;200;2;1;log2;10.0
4;100;2;1;log2;20.0
5;100;5;1;log2;20.0
6;100;2;1;0.3;
7;200;5;4;log2;10.0
8;200;10;4;log2;20.0
9;500;5;1;0.3;10.0
10;200;10;2;sqrt;20.0
11;100;10;4;sqrt;10.0
12;500;5;1;log2;10.0
13;200;10;2;log2;10.0
14;100;5;4;log2;
15;200;10;2;sqrt;
16;200;2;4;log2;
17;200;2;4;sqrt;10.0
18;100;5;1;sqrt;
19;100;10;4;log2;
20;300;5;4;log2;10.0
21;300;5;4;0.3;20.0
22;100;10;2;log2;10.0
23;500;10;4;log2;
24;200;2;2;sqrt;20.0
25;100;2;4;0.3;10.0
26;300;10;4;sqrt;20.0
27;200;10;2;sqrt;10.0
28;500;2;2;log2;20.0
29;500;2;1;0.3;20.0
30;300;10;4;0.3;
