Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;4;0.3;20.0
2;500;2;4;0.3;20.0
3;500;2;4;sqrt;10.0
4;500;2;2;0.3;10.0
5;200;5;2;log2;10.0
6;500;2;1;sqrt;10.0
7;500;10;2;log2;20.0
8;500;5;4;sqrt;10.0
9;500;10;4;0.3;
10;200;5;4;sqrt;20.0
11;300;10;2;0.3;20.0
12;300;10;4;log2;10.0
13;100;10;4;log2;10.0
14;300;10;1;sqrt;20.0
15;500;5;1;sqrt;10.0
16;300;5;2;sqrt;
17;200;5;2;0.3;
18;200;2;2;log2;10.0
19;200;10;1;sqrt;20.0
20;500;2;1;log2;10.0
21;300;10;4;0.3;
22;500;5;1;sqrt;
23;500;5;1;0.3;20.0
24;300;2;2;0.3;10.0
25;500;10;2;sqrt;10.0
26;300;10;1;sqrt;
27;200;10;2;log2;
28;100;10;4;sqrt;
29;500;2;2;0.3;
30;200;5;4;log2;
