Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;2;0.3;20.0
2;200;5;2;log2;10.0
3;200;10;2;0.3;10.0
4;100;5;4;log2;
5;500;5;4;sqrt;
6;100;5;2;log2;10.0
7;300;2;2;0.3;
8;100;10;4;log2;
9;300;2;4;log2;
10;500;10;4;0.3;
11;200;10;4;sqrt;10.0
12;300;2;2;0.3;10.0
13;300;5;2;0.3;20.0
14;100;2;4;0.3;10.0
15;500;5;4;log2;
16;100;10;2;log2;10.0
17;200;10;2;sqrt;
18;300;10;2;0.3;20.0
19;100;5;4;0.3;20.0
20;500;2;2;sqrt;
21;100;5;4;log2;20.0
22;500;10;4;sqrt;
23;100;10;4;sqrt;10.0
24;200;5;2;sqrt;10.0
25;500;2;2;0.3;10.0
26;200;10;4;log2;20.0
27;200;5;1;0.3;20.0
28;100;2;1;sqrt;20.0
29;200;10;1;sqrt;
30;200;5;2;log2;
