Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;2;log2;20.0
2;300;2;2;0.3;
3;100;2;4;log2;20.0
4;500;10;4;log2;10.0
5;300;5;4;log2;
6;200;10;2;log2;20.0
7;300;10;4;0.3;20.0
8;100;5;1;log2;20.0
9;200;5;4;sqrt;10.0
10;200;5;2;0.3;20.0
11;100;10;2;log2;20.0
12;200;2;2;sqrt;20.0
13;300;5;2;sqrt;
14;300;10;1;0.3;20.0
15;100;10;2;log2;
16;500;5;2;sqrt;
17;200;10;2;sqrt;10.0
18;100;2;1;log2;10.0
19;500;2;1;0.3;10.0
20;500;2;2;log2;10.0
21;100;5;4;sqrt;10.0
22;200;2;1;sqrt;10.0
23;200;10;1;sqrt;20.0
24;300;5;2;sqrt;10.0
25;500;5;1;0.3;20.0
26;200;5;4;sqrt;
27;100;2;4;log2;
28;500;5;1;log2;
29;300;2;1;0.3;
30;500;5;4;log2;20.0
