Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;2;log2;20.0
2;300;2;2;0.3;20.0
3;500;5;2;0.3;
4;500;5;4;0.3;20.0
5;200;10;2;log2;10.0
6;300;10;1;sqrt;20.0
7;100;5;2;log2;10.0
8;100;5;1;0.3;20.0
9;500;5;4;sqrt;
10;500;5;1;log2;10.0
11;300;2;2;log2;
12;500;5;4;0.3;
13;200;10;1;log2;10.0
14;500;5;2;log2;10.0
15;100;5;2;0.3;
16;300;2;4;sqrt;10.0
17;500;2;2;sqrt;10.0
18;500;2;1;sqrt;
19;300;2;2;log2;20.0
20;100;5;2;log2;
21;500;5;2;sqrt;20.0
22;200;2;1;log2;20.0
23;100;10;4;0.3;10.0
24;500;2;4;sqrt;
25;100;2;2;sqrt;10.0
26;300;5;4;log2;20.0
27;100;10;2;0.3;20.0
28;100;2;1;log2;20.0
29;100;10;1;0.3;20.0
30;100;10;4;sqrt;
