Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;1;sqrt;20.0
2;300;5;1;0.3;20.0
3;200;5;4;sqrt;20.0
4;100;5;1;sqrt;20.0
5;500;2;1;log2;10.0
6;200;5;1;log2;10.0
7;300;2;1;0.3;
8;300;10;1;sqrt;20.0
9;100;2;4;sqrt;
10;100;2;1;log2;
11;200;10;4;log2;20.0
12;500;10;1;sqrt;20.0
13;300;2;1;0.3;20.0
14;500;5;1;sqrt;
15;300;5;1;sqrt;
16;500;5;2;log2;10.0
17;300;10;2;sqrt;10.0
18;200;2;1;0.3;
19;100;2;4;log2;
20;200;2;2;0.3;20.0
21;200;2;2;0.3;
22;300;10;4;log2;
23;100;2;2;0.3;20.0
24;100;10;1;0.3;
25;300;5;1;0.3;10.0
26;200;5;2;sqrt;10.0
27;200;5;1;log2;20.0
28;300;10;4;log2;10.0
29;100;5;1;sqrt;10.0
30;200;10;1;0.3;10.0
