Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;0.3;
2;300;10;4;sqrt;20.0
3;300;5;2;sqrt;
4;200;2;2;log2;20.0
5;100;2;2;log2;10.0
6;200;10;1;0.3;
7;300;10;4;log2;20.0
8;500;10;2;log2;10.0
9;200;5;1;log2;20.0
10;200;2;4;sqrt;
11;200;2;4;log2;20.0
12;200;2;1;0.3;
13;200;2;4;sqrt;10.0
14;300;2;2;sqrt;10.0
15;500;10;4;0.3;10.0
16;300;2;2;0.3;
17;500;10;4;0.3;20.0
18;200;10;4;0.3;10.0
19;100;10;1;0.3;20.0
20;500;5;1;0.3;
21;500;5;1;sqrt;20.0
22;100;10;1;sqrt;20.0
23;500;5;4;0.3;20.0
24;500;2;4;0.3;20.0
25;500;10;2;sqrt;10.0
26;100;5;1;sqrt;20.0
27;200;5;1;0.3;20.0
28;500;2;1;sqrt;
29;200;10;4;log2;
30;200;10;1;sqrt;
