Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;4;0.3;10.0
2;500;5;4;0.3;
3;300;5;1;sqrt;10.0
4;300;5;4;0.3;20.0
5;200;10;2;log2;20.0
6;100;10;2;0.3;20.0
7;500;2;2;sqrt;20.0
8;300;10;4;sqrt;10.0
9;300;5;1;log2;10.0
10;200;2;1;0.3;10.0
11;300;10;2;log2;20.0
12;100;2;1;log2;
13;200;5;1;sqrt;20.0
14;100;2;1;0.3;20.0
15;500;5;2;sqrt;20.0
16;300;10;2;log2;10.0
17;500;5;4;sqrt;20.0
18;200;2;1;0.3;20.0
19;200;10;4;sqrt;20.0
20;100;10;1;log2;
21;300;2;1;sqrt;10.0
22;200;2;1;sqrt;
23;300;10;1;0.3;20.0
24;200;2;4;sqrt;20.0
25;200;10;2;log2;
26;100;2;2;0.3;
27;300;10;2;sqrt;20.0
28;300;2;4;log2;
29;200;5;2;log2;
30;100;10;1;log2;20.0
